_Eihop,_P0,hops,d,_R,_Nb
0.21,0.10,1,135,250,90
0.136,0.28,1,135,250,90
0.136,0.28,1,135,250,90
0.10,0.07,1,135,250,90
0.10,0.07,1,135,250,90
0.32,0.14,1,135,250,90
0.111,0.25,1,135,250,90
0.61,0.18,1,135,250,90
0.18,0.10,1,135,250,90
0.57,0.18,1,135,250,90
0.72,0.21,1,135,250,90
0.39,0.14,1,135,250,90
0.32,0.14,1,135,250,90
0.10,0.07,1,135,250,90
0.100,0.25,1,135,250,90
0.108,0.25,1,135,250,90
0.140,0.28,1,135,250,90
0.18,0.10,1,135,250,90
0.72,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.86,0.21,1,135,250,90
0.36,0.14,1,135,250,90
0.36,0.14,1,135,250,90
0.07,0.07,1,135,250,90
0.111,0.25,1,135,250,90
0.36,0.14,1,135,250,90
0.82,0.21,1,135,250,90
0.18,0.10,1,135,250,90
0.115,0.25,1,135,250,90
0.36,0.14,1,135,250,90
0.129,0.28,1,135,250,90
0.136,0.28,1,135,250,90
0.115,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.115,0.25,1,135,250,90
0.03,0.03,1,135,250,90
0.32,0.14,1,135,250,90
0.104,0.25,1,135,250,90
0.111,0.25,1,135,250,90
0.03,0.03,1,135,250,90
0.61,0.18,1,135,250,90
0.07,0.07,1,135,250,90
0.25,0.14,1,135,250,90
0.18,0.10,1,135,250,90
0.140,0.28,1,135,250,90
0.21,0.10,1,135,250,90
0.140,0.28,1,135,250,90
0.118,0.25,1,135,250,90
0.136,0.28,1,135,250,90
0.54,0.18,1,135,250,90
0.57,0.18,1,135,250,90
0.104,0.25,1,135,250,90
0.57,0.18,1,135,250,90
0.36,0.14,1,135,250,90
0.115,0.25,1,135,250,90
0.136,0.28,1,135,250,90
0.50,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.54,0.18,1,135,250,90
0.111,0.25,1,135,250,90
0.82,0.21,1,135,250,90
0.108,0.25,1,135,250,90
0.104,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.57,0.18,1,135,250,90
0.86,0.21,1,135,250,90
0.86,0.21,1,135,250,90
0.64,0.18,1,135,250,90
0.18,0.10,1,135,250,90
0.115,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.57,0.18,1,135,250,90
0.111,0.25,1,135,250,90
0.108,0.25,1,135,250,90
0.115,0.25,1,135,250,90
0.36,0.14,1,135,250,90
0.111,0.25,1,135,250,90
0.111,0.25,1,135,250,90
0.86,0.21,1,135,250,90
0.03,0.03,1,135,250,90
0.54,0.18,1,135,250,90
0.133,0.28,1,135,250,90
0.115,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.07,0.07,1,135,250,90
0.21,0.10,1,135,250,90
0.36,0.14,1,135,250,90
0.18,0.10,1,135,250,90
0.108,0.25,1,135,250,90
0.07,0.07,1,135,250,90
0.54,0.18,1,135,250,90
0.57,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.36,0.14,1,135,250,90
0.115,0.25,1,135,250,90
0.140,0.28,1,135,250,90
0.36,0.14,1,135,250,90
0.129,0.28,1,135,250,90
0.61,0.18,1,135,250,90
0.90,0.21,1,135,250,90
0.50,0.18,1,135,250,90
0.21,0.10,1,135,250,90
0.25,0.10,1,135,250,90
0.54,0.18,1,135,250,90
0.21,0.10,1,135,250,90
0.108,0.25,1,135,250,90
0.140,0.28,1,135,250,90
0.10,0.07,1,135,250,90
0.100,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.133,0.28,1,135,250,90
0.86,0.21,1,135,250,90
0.72,0.21,1,135,250,90
0.03,0.03,1,135,250,90
0.75,0.21,1,135,250,90
0.10,0.07,1,135,250,90
0.86,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.133,0.28,1,135,250,90
0.61,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.39,0.14,1,135,250,90
0.75,0.21,1,135,250,90
0.39,0.14,1,135,250,90
0.140,0.28,1,135,250,90
0.115,0.25,1,135,250,90
0.64,0.18,1,135,250,90
0.115,0.25,1,135,250,90
0.61,0.18,1,135,250,90
0.36,0.14,1,135,250,90
0.75,0.21,1,135,250,90
0.136,0.28,1,135,250,90
0.100,0.25,1,135,250,90
0.79,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.86,0.21,1,135,250,90
0.82,0.21,1,135,250,90
0.82,0.21,1,135,250,90
0.18,0.10,1,135,250,90
0.86,0.21,1,135,250,90
0.140,0.28,1,135,250,90
0.61,0.18,1,135,250,90
0.54,0.18,1,135,250,90
0.21,0.10,1,135,250,90
0.108,0.25,1,135,250,90
0.36,0.14,1,135,250,90
0.75,0.21,1,135,250,90
0.50,0.18,1,135,250,90
0.18,0.10,1,135,250,90
0.54,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.21,0.10,1,135,250,90
0.104,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.18,0.10,1,135,250,90
0.64,0.18,1,135,250,90
0.21,0.10,1,135,250,90
0.18,0.10,1,135,250,90
0.111,0.25,1,135,250,90
0.86,0.21,1,135,250,90
0.111,0.25,1,135,250,90
0.50,0.18,1,135,250,90
0.39,0.14,1,135,250,90
0.104,0.25,1,135,250,90
0.104,0.25,1,135,250,90
0.18,0.10,1,135,250,90
0.36,0.14,1,135,250,90
0.18,0.10,1,135,250,90
0.10,0.07,1,135,250,90
0.07,0.07,1,135,250,90
0.07,0.07,1,135,250,90
0.21,0.10,1,135,250,90
0.97,0.25,1,135,250,90
0.82,0.21,1,135,250,90
0.61,0.18,1,135,250,90
0.36,0.14,1,135,250,90
0.79,0.21,1,135,250,90
0.57,0.18,1,135,250,90
0.18,0.10,1,135,250,90
0.86,0.21,1,135,250,90
0.104,0.25,1,135,250,90
0.39,0.14,1,135,250,90
0.104,0.25,1,135,250,90
0.18,0.10,1,135,250,90
0.111,0.25,1,135,250,90
0.133,0.28,1,135,250,90
0.75,0.21,1,135,250,90
0.21,0.10,1,135,250,90
0.07,0.07,1,135,250,90
0.100,0.25,1,135,250,90
0.39,0.14,1,135,250,90
0.32,0.14,1,135,250,90
0.75,0.21,1,135,250,90
0.136,0.28,1,135,250,90
0.136,0.28,1,135,250,90
0.72,0.21,1,135,250,90
0.21,0.10,1,135,250,90
0.111,0.25,1,135,250,90
0.39,0.14,1,135,250,90
0.18,0.10,1,135,250,90
0.86,0.21,1,135,250,90
0.75,0.21,1,135,250,90
0.136,0.28,1,135,250,90
0.03,0.03,1,135,250,90
0.10,0.07,1,135,250,90
0.43,0.14,1,135,250,90
0.54,0.18,1,135,250,90
0.32,0.14,1,135,250,90
0.14,0.10,1,135,250,90
0.36,0.14,1,135,250,90
0.54,0.18,1,135,250,90
0.111,0.25,1,135,250,90
0.108,0.25,1,135,250,90
0.82,0.21,1,135,250,90
0.79,0.21,1,135,250,90
0.136,0.28,1,135,250,90
0.111,0.25,1,135,250,90
0.108,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.39,0.14,1,135,250,90
0.111,0.25,1,135,250,90
0.82,0.21,1,135,250,90
0.36,0.14,1,135,250,90
0.57,0.18,1,135,250,90
0.07,0.07,1,135,250,90
0.82,0.21,1,135,250,90
0.21,0.10,1,135,250,90
0.75,0.21,1,135,250,90
0.104,0.25,1,135,250,90
0.79,0.21,1,135,250,90
0.61,0.18,1,135,250,90
0.111,0.25,1,135,250,90
0.140,0.28,1,135,250,90
0.86,0.21,1,135,250,90
0.79,0.21,1,135,250,90
0.10,0.07,1,135,250,90
0.18,0.10,1,135,250,90
0.108,0.25,1,135,250,90
0.36,0.14,1,135,250,90
0.07,0.07,1,135,250,90
0.75,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.18,0.10,1,135,250,90
0.32,0.14,1,135,250,90
0.54,0.18,1,135,250,90
0.36,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.54,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.136,0.28,1,135,250,90
0.118,0.25,1,135,250,90
0.79,0.21,1,135,250,90
0.36,0.14,1,135,250,90
0.32,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.36,0.14,1,135,250,90
0.79,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.07,0.07,1,135,250,90
0.111,0.25,1,135,250,90
0.86,0.21,1,135,250,90
0.82,0.21,1,135,250,90
0.111,0.25,1,135,250,90
0.61,0.18,1,135,250,90
0.61,0.18,1,135,250,90
0.25,0.10,1,135,250,90
0.86,0.21,1,135,250,90
0.133,0.28,1,135,250,90
0.136,0.28,1,135,250,90
0.111,0.25,1,135,250,90
0.61,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.115,0.25,1,135,250,90
0.140,0.28,1,135,250,90
0.86,0.21,1,135,250,90
0.82,0.21,1,135,250,90
0.75,0.21,1,135,250,90
0.129,0.28,1,135,250,90
0.61,0.18,1,135,250,90
0.75,0.21,1,135,250,90
0.111,0.25,1,135,250,90
0.39,0.14,1,135,250,90
0.50,0.18,1,135,250,90
0.36,0.14,1,135,250,90
0.54,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.57,0.18,1,135,250,90
0.111,0.25,1,135,250,90
0.104,0.25,1,135,250,90
0.140,0.28,1,135,250,90
0.21,0.10,1,135,250,90
0.07,0.07,1,135,250,90
0.154,0.32,1,135,250,90
0.57,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.118,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.86,0.21,1,135,250,90
0.21,0.10,1,135,250,90
0.54,0.18,1,135,250,90
0.54,0.18,1,135,250,90
0.104,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.118,0.25,1,135,250,90
0.86,0.21,1,135,250,90
0.104,0.25,1,135,250,90
0.82,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.57,0.18,1,135,250,90
0.79,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.79,0.21,1,135,250,90
0.36,0.14,1,135,250,90
0.90,0.21,1,135,250,90
0.50,0.18,1,135,250,90
0.36,0.14,1,135,250,90
0.154,0.32,1,135,250,90
0.57,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.118,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.86,0.21,1,135,250,90
0.21,0.10,1,135,250,90
0.54,0.18,1,135,250,90
0.54,0.18,1,135,250,90
0.104,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.118,0.25,1,135,250,90
0.86,0.21,1,135,250,90
0.104,0.25,1,135,250,90
0.82,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.57,0.18,1,135,250,90
0.79,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.79,0.21,1,135,250,90
0.36,0.14,1,135,250,90
0.90,0.21,1,135,250,90
0.50,0.18,1,135,250,90
0.36,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.79,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.21,0.10,1,135,250,90
0.18,0.10,1,135,250,90
0.133,0.28,1,135,250,90
0.21,0.10,1,135,250,90
0.82,0.21,1,135,250,90
0.82,0.21,1,135,250,90
0.50,0.18,1,135,250,90
0.86,0.21,1,135,250,90
0.115,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.10,0.07,1,135,250,90
0.108,0.25,1,135,250,90
0.57,0.18,1,135,250,90
0.111,0.25,1,135,250,90
0.50,0.18,1,135,250,90
0.07,0.07,1,135,250,90
0.75,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.140,0.28,1,135,250,90
0.140,0.28,1,135,250,90
0.54,0.18,1,135,250,90
0.82,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.75,0.21,1,135,250,90
0.79,0.21,1,135,250,90
0.86,0.21,1,135,250,90
0.39,0.14,1,135,250,90
0.32,0.14,1,135,250,90
0.36,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.07,0.07,1,135,250,90
0.18,0.10,1,135,250,90
0.18,0.10,1,135,250,90
0.10,0.07,1,135,250,90
0.100,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.21,0.10,1,135,250,90
0.79,0.21,1,135,250,90
0.75,0.21,1,135,250,90
0.115,0.25,1,135,250,90
0.115,0.25,1,135,250,90
0.18,0.10,1,135,250,90
0.10,0.07,1,135,250,90
0.82,0.21,1,135,250,90
0.36,0.14,1,135,250,90
0.39,0.14,1,135,250,90
0.104,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.36,0.14,1,135,250,90
0.07,0.07,1,135,250,90
0.82,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.75,0.21,1,135,250,90
0.54,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.111,0.25,1,135,250,90
0.100,0.25,1,135,250,90
0.57,0.18,1,135,250,90
0.111,0.25,1,135,250,90
0.111,0.25,1,135,250,90
0.50,0.18,1,135,250,90
0.25,0.10,1,135,250,90
0.61,0.18,1,135,250,90
0.50,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.54,0.18,1,135,250,90
0.82,0.21,1,135,250,90
0.57,0.18,1,135,250,90
0.115,0.25,1,135,250,90
0.57,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.82,0.21,1,135,250,90
0.18,0.10,1,135,250,90
0.54,0.18,1,135,250,90
0.54,0.18,1,135,250,90
0.32,0.14,1,135,250,90
0.07,0.07,1,135,250,90
0.07,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.82,0.21,1,135,250,90
0.57,0.18,1,135,250,90
0.36,0.14,1,135,250,90
0.111,0.25,1,135,250,90
0.79,0.21,1,135,250,90
0.39,0.14,1,135,250,90
0.57,0.18,1,135,250,90
0.108,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.57,0.18,1,135,250,90
0.136,0.28,1,135,250,90
0.82,0.21,1,135,250,90
0.86,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.54,0.18,1,135,250,90
0.68,0.21,1,135,250,90
0.61,0.18,1,135,250,90
0.50,0.18,1,135,250,90
0.57,0.18,1,135,250,90
0.82,0.21,1,135,250,90
0.79,0.21,1,135,250,90
0.57,0.18,1,135,250,90
0.108,0.25,1,135,250,90
0.57,0.18,1,135,250,90
0.32,0.14,1,135,250,90
0.75,0.21,1,135,250,90
0.82,0.21,1,135,250,90
0.82,0.21,1,135,250,90
0.61,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.18,0.10,1,135,250,90
0.61,0.18,1,135,250,90
0.118,0.25,1,135,250,90
0.32,0.14,1,135,250,90
0.86,0.21,1,135,250,90
0.39,0.14,1,135,250,90
0.104,0.25,1,135,250,90
0.133,0.28,1,135,250,90
0.61,0.18,1,135,250,90
0.39,0.14,1,135,250,90
0.03,0.03,1,135,250,90
0.108,0.25,1,135,250,90
0.86,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.54,0.18,1,135,250,90
0.115,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.136,0.28,1,135,250,90
0.10,0.07,1,135,250,90
0.61,0.18,1,135,250,90
0.18,0.10,1,135,250,90
0.57,0.18,1,135,250,90
0.57,0.18,1,135,250,90
0.39,0.14,1,135,250,90
0.111,0.25,1,135,250,90
0.39,0.14,1,135,250,90
0.118,0.25,1,135,250,90
0.108,0.25,1,135,250,90
0.136,0.28,1,135,250,90
0.07,0.07,1,135,250,90
0.10,0.07,1,135,250,90
0.136,0.28,1,135,250,90
0.129,0.28,1,135,250,90
0.39,0.14,1,135,250,90
0.108,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.36,0.14,1,135,250,90
0.57,0.18,1,135,250,90
0.104,0.25,1,135,250,90
0.108,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.140,0.28,1,135,250,90
0.10,0.07,1,135,250,90
0.21,0.10,1,135,250,90
0.10,0.07,1,135,250,90
0.10,0.07,1,135,250,90
0.57,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.18,0.10,1,135,250,90
0.115,0.25,1,135,250,90
0.61,0.18,1,135,250,90
0.54,0.18,1,135,250,90
0.21,0.10,1,135,250,90
0.111,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.39,0.14,1,135,250,90
0.18,0.10,1,135,250,90
0.75,0.21,1,135,250,90
0.115,0.25,1,135,250,90
0.136,0.28,1,135,250,90
0.39,0.14,1,135,250,90
0.54,0.18,1,135,250,90
0.18,0.10,1,135,250,90
0.07,0.07,1,135,250,90
0.18,0.10,1,135,250,90
0.32,0.14,1,135,250,90
0.57,0.18,1,135,250,90
0.03,0.03,1,135,250,90
0.07,0.07,1,135,250,90
0.108,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.21,0.10,1,135,250,90
0.136,0.28,1,135,250,90
0.136,0.28,1,135,250,90
0.10,0.07,1,135,250,90
0.10,0.07,1,135,250,90
0.32,0.14,1,135,250,90
0.111,0.25,1,135,250,90
0.61,0.18,1,135,250,90
0.18,0.10,1,135,250,90
0.57,0.18,1,135,250,90
0.72,0.21,1,135,250,90
0.39,0.14,1,135,250,90
0.32,0.14,1,135,250,90
0.10,0.07,1,135,250,90
0.100,0.25,1,135,250,90
0.108,0.25,1,135,250,90
0.140,0.28,1,135,250,90
0.18,0.10,1,135,250,90
0.72,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.86,0.21,1,135,250,90
0.36,0.14,1,135,250,90
0.36,0.14,1,135,250,90
0.07,0.07,1,135,250,90
0.111,0.25,1,135,250,90
0.36,0.14,1,135,250,90
0.82,0.21,1,135,250,90
0.18,0.10,1,135,250,90
0.115,0.25,1,135,250,90
0.36,0.14,1,135,250,90
0.129,0.28,1,135,250,90
0.136,0.28,1,135,250,90
0.115,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.115,0.25,1,135,250,90
0.03,0.03,1,135,250,90
0.32,0.14,1,135,250,90
0.104,0.25,1,135,250,90
0.111,0.25,1,135,250,90
0.03,0.03,1,135,250,90
0.61,0.18,1,135,250,90
0.07,0.07,1,135,250,90
0.25,0.14,1,135,250,90
0.18,0.10,1,135,250,90
0.140,0.28,1,135,250,90
0.21,0.10,1,135,250,90
0.140,0.28,1,135,250,90
0.118,0.25,1,135,250,90
0.136,0.28,1,135,250,90
0.54,0.18,1,135,250,90
0.154,0.32,1,135,250,90
0.57,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.118,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.86,0.21,1,135,250,90
0.21,0.10,1,135,250,90
0.54,0.18,1,135,250,90
0.54,0.18,1,135,250,90
0.104,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.118,0.25,1,135,250,90
0.86,0.21,1,135,250,90
0.104,0.25,1,135,250,90
0.82,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.57,0.18,1,135,250,90
0.79,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.79,0.21,1,135,250,90
0.36,0.14,1,135,250,90
0.90,0.21,1,135,250,90
0.50,0.18,1,135,250,90
0.36,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.79,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.21,0.10,1,135,250,90
0.18,0.10,1,135,250,90
0.133,0.28,1,135,250,90
0.21,0.10,1,135,250,90
0.82,0.21,1,135,250,90
0.82,0.21,1,135,250,90
0.50,0.18,1,135,250,90
0.86,0.21,1,135,250,90
0.115,0.25,1,135,250,90
0.10,0.07,1,135,250,90
0.10,0.07,1,135,250,90
0.108,0.25,1,135,250,90
0.57,0.18,1,135,250,90
0.111,0.25,1,135,250,90
0.50,0.18,1,135,250,90
0.07,0.07,1,135,250,90
0.75,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.140,0.28,1,135,250,90
0.140,0.28,1,135,250,90
0.54,0.18,1,135,250,90
0.82,0.21,1,135,250,90
0.32,0.14,1,135,250,90
0.75,0.21,1,135,250,90
0.79,0.21,1,135,250,90
0.86,0.21,1,135,250,90
0.39,0.14,1,135,250,90
0.32,0.14,1,135,250,90
0.36,0.14,1,135,250,90
0.21,0.10,1,135,250,90
0.07,0.07,1,135,250,90
0.18,0.10,1,135,250,90
0.18,0.10,1,135,250,90
0.10,0.07,1,135,250,90
0.100,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.21,0.10,1,135,250,90
0.79,0.21,1,135,250,90
0.75,0.21,1,135,250,90
0.115,0.25,1,135,250,90
0.115,0.25,1,135,250,90
0.18,0.10,1,135,250,90
0.10,0.07,1,135,250,90
0.82,0.21,1,135,250,90
0.36,0.14,1,135,250,90
0.39,0.14,1,135,250,90
0.104,0.25,1,135,250,90
0.54,0.18,1,135,250,90
0.140,0.28,1,135,250,90
0.36,0.14,1,135,250,90
0.07,0.07,1,135,250,90
0.82,0.21,1,135,250,90
0.07,0.07,1,135,250,90
0.75,0.21,1,135,250,90
0.54,0.18,1,135,250,90
0.10,0.07,1,135,250,90
0.36,0.14,1,135,250,90
0.111,0.25,1,135,250,90
0.100,0.25,1,135,250,90
